PoleId,ParkingSpaceId,Region,Region_tc,Region_sc,District,District_tc,District_sc,SubDistrict,SubDistrict_tc,SubDistrict_sc,Street,Street_tc,Street_sc,SectionOfStreet,SectionOfStreet_tc,SectionOfStreet_sc,Latitude,Longitude,VehicleType,LPP,OperatingPeriod,TimeUnit,PaymentUnit
10026,10026A,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong West,南昌西,南昌西,YEE KUK STREET,醫局街,医局街,Pei Ho Street,北河街,北河街,22.32763673,114.1607331,A,30,D,15,2
10026,10026B,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong West,南昌西,南昌西,YEE KUK STREET,醫局街,医局街,Pei Ho Street,北河街,北河街,22.32766612,114.1606957,A,30,D,15,2
10027,10027A,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong West,南昌西,南昌西,YEE KUK STREET,醫局街,医局街,Pei Ho Street,北河街,北河街,22.32770446,114.1606484,A,30,D,15,2
10028,10028A,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong West,南昌西,南昌西,YEE KUK STREET,醫局街,医局街,Yen Chau Street,欽州街,钦州街,22.32951582,114.158164,A,120,D,15,2
10028,10028B,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong West,南昌西,南昌西,YEE KUK STREET,醫局街,医局街,Yen Chau Street,欽州街,钦州街,22.32948859,114.158201,A,120,D,15,2
10029,10029A,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong West,南昌西,南昌西,YEE KUK STREET,醫局街,医局街,Yen Chau Street,欽州街,钦州街,22.3295808,114.1580767,A,120,D,15,2
10029,10029B,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong West,南昌西,南昌西,YEE KUK STREET,醫局街,医局街,Yen Chau Street,欽州街,钦州街,22.32955213,114.1581147,A,120,D,15,2
1003,1003B,Hong Kong,香港島,香港岛,Wan Chai,灣仔,湾仔,Tai Hang,大坑,大坑,TAI HANG ROAD,大坑道,大坑道,TAI HANG ROAD CAR PARK,大坑道停車場,大坑道停车场,22.2766363,114.1947587,C,120,D,15,2
10030,10030A,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong West,南昌西,南昌西,YEE KUK STREET,醫局街,医局街,Yen Chau Street,欽州街,钦州街,22.32964769,114.157993,A,120,D,15,2
10030,10030B,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong West,南昌西,南昌西,YEE KUK STREET,醫局街,医局街,Yen Chau Street,欽州街,钦州街,22.32961998,114.1580269,A,120,D,15,2
10031,10031A,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong West,南昌西,南昌西,YEE KUK STREET,醫局街,医局街,Yen Chau Street,欽州街,钦州街,22.32971363,114.1579056,A,120,D,15,2
10031,10031B,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong West,南昌西,南昌西,YEE KUK STREET,醫局街,医局街,Yen Chau Street,欽州街,钦州街,22.32968496,114.1579441,A,120,D,15,2
10033,10033B,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong West,南昌西,南昌西,HAI TAN STREET,海壇街,海坛街,Hai Tan Street 2,海壇街2,海坛街2,22.3293812,114.157391,A,120,D,15,2
10034,10034A,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong West,南昌西,南昌西,HAI TAN STREET,海壇街,海坛街,Hai Tan Street 2,海壇街2,海坛街2,22.3293247,114.1574629,A,120,D,15,2
10034,10034B,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong West,南昌西,南昌西,HAI TAN STREET,海壇街,海坛街,Hai Tan Street 2,海壇街2,海坛街2,22.3292724,114.1575314,A,120,D,15,2
10035,10035A,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong West,南昌西,南昌西,HAI TAN STREET,海壇街,海坛街,Hai Tan Street 2,海壇街2,海坛街2,22.32908577,114.1579008,A,120,D,15,2
10035,10035B,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong West,南昌西,南昌西,HAI TAN STREET,海壇街,海坛街,Hai Tan Street 2,海壇街2,海坛街2,22.32911228,114.1578646,A,120,D,15,2
10036,10036A,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong West,南昌西,南昌西,HAI TAN STREET,海壇街,海坛街,Hai Tan Street 2,海壇街2,海坛街2,22.32915027,114.1578145,A,120,D,15,2
10036,10036B,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong West,南昌西,南昌西,HAI TAN STREET,海壇街,海坛街,Hai Tan Street 2,海壇街2,海坛街2,22.32917965,114.157779,A,120,D,15,2
10037,10037A,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong West,南昌西,南昌西,HAI TAN STREET,海壇街,海坛街,Hai Tan Street 1,海壇街2,海坛街2,22.32922602,114.1577135,G,60,A,15,2
10037,10037B,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong West,南昌西,南昌西,HAI TAN STREET,海壇街,海坛街,Hai Tan Street 1,海壇街2,海坛街2,22.32928336,114.1576441,G,60,A,15,2
10038,10038A,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong West,南昌西,南昌西,HAI TAN STREET,海壇街,海坛街,Hai Tan Street 1,海壇街2,海坛街2,22.32934571,114.1575617,G,60,A,15,2
10041,10041A,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Cheung Sha Wan,長沙灣,长沙湾,KIU KIANG STREET,九江街,九江街,Lai Chi Kok Road,荔枝角道,荔枝角道,22.32922437,114.1570711,A,120,D,15,2
10041,10041B,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Cheung Sha Wan,長沙灣,长沙湾,KIU KIANG STREET,九江街,九江街,Lai Chi Kok Road,荔枝角道,荔枝角道,22.32919121,114.1570409,A,120,D,15,2
10042,10042A,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Cheung Sha Wan,長沙灣,长沙湾,KIU KIANG STREET,九江街,九江街,Lai Chi Kok Road,荔枝角道,荔枝角道,22.32926015,114.1572294,A,120,D,15,2
10042,10042B,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Cheung Sha Wan,長沙灣,长沙湾,KIU KIANG STREET,九江街,九江街,Lai Chi Kok Road,荔枝角道,荔枝角道,22.32929527,114.1572614,A,120,D,15,2
10057,10057A,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong Cnetral,南昌中,南昌中,PEI HO STREET,北河街,北河街,Hai Tan Street,海壇街,海坛街,22.32751471,114.1602439,A,120,D,15,2
10057,10057B,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong Cnetral,南昌中,南昌中,PEI HO STREET,北河街,北河街,Hai Tan Street,海壇街,海坛街,22.32754768,114.1602696,A,120,D,15,2
10058,10058A,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong Cnetral,南昌中,南昌中,PEI HO STREET,北河街,北河街,Hai Tan Street,海壇街,海坛街,22.32769375,114.1602739,A,30,D,15,2
10058,10058B,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong Cnetral,南昌中,南昌中,PEI HO STREET,北河街,北河街,Hai Tan Street,海壇街,海坛街,22.32766114,114.1602435,A,30,D,15,2
10059,10059A,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong Cnetral,南昌中,南昌中,PEI HO STREET,北河街,北河街,Hai Tan Street,海壇街,海坛街,22.32761597,114.1602053,A,30,D,15,2
10059,10059B,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong Cnetral,南昌中,南昌中,PEI HO STREET,北河街,北河街,Hai Tan Street,海壇街,海坛街,22.32757977,114.160173,A,30,D,15,2
1006,1006B,Hong Kong,香港島,香港岛,Wan Chai,灣仔,湾仔,Tai Hang,大坑,大坑,TAI HANG ROAD,大坑道,大坑道,TAI HANG ROAD CAR PARK,大坑道停車場,大坑道停车场,22.2764926,114.1950633,C,120,D,15,2
10072,10072A,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong West,南昌西,南昌西,KWEILIN STREET,桂林街,桂林街,Kweilin Street 2,桂林街2,桂林街2,22.33258482,114.1631815,A,60,D,15,2
10073,10073A,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong West,南昌西,南昌西,KWEILIN STREET,桂林街,桂林街,Kweilin Street 2,桂林街2,桂林街2,22.33266248,114.1632515,A,60,D,15,2
10073,10073B,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong West,南昌西,南昌西,KWEILIN STREET,桂林街,桂林街,Kweilin Street 2,桂林街2,桂林街2,22.33262783,114.1632188,A,60,D,15,2
10074,10074A,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong West,南昌西,南昌西,KWEILIN STREET,桂林街,桂林街,Kweilin Street 2,桂林街2,桂林街2,22.33274193,114.1633215,A,60,D,15,2
10074,10074B,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong West,南昌西,南昌西,KWEILIN STREET,桂林街,桂林街,Kweilin Street 2,桂林街2,桂林街2,22.33270847,114.1632932,A,60,D,15,2
10075,10075A,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong West,南昌西,南昌西,KWEILIN STREET,桂林街,桂林街,Kweilin Street 2,桂林街2,桂林街2,22.33282317,114.1633921,A,60,D,15,2
10075,10075B,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong West,南昌西,南昌西,KWEILIN STREET,桂林街,桂林街,Kweilin Street 2,桂林街2,桂林街2,22.33278733,114.1633645,A,60,D,15,2
10083,10083A,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong East ,南昌東,南昌东,FUK WA STREET,福華街,福华街,FUK WA STREET 2,福華街 2,福华街 2,22.3387236,114.1531103,A,120,D,15,2
10083,10083B,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong East ,南昌東,南昌东,FUK WA STREET,福華街,福华街,FUK WA STREET 2,福華街 2,福华街 2,22.3387559,114.1530713,A,120,D,15,2
10084,10084A,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong East ,南昌東,南昌东,FUK WA STREET,福華街,福华街,FUK WA STREET 2,福華街 2,福华街 2,22.3387968,114.1530212,A,120,D,15,2
10084,10084B,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong East ,南昌東,南昌东,FUK WA STREET,福華街,福华街,FUK WA STREET 2,福華街 2,福华街 2,22.3388268,114.1529836,A,120,D,15,2
10085,10085A,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong East ,南昌東,南昌东,FUK WA STREET,福華街,福华街,FUK WA STREET 2,福華街 2,福华街 2,22.3388694,114.1529297,A,120,D,15,2
10085,10085B,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong East ,南昌東,南昌东,FUK WA STREET,福華街,福华街,FUK WA STREET 2,福華街 2,福华街 2,22.3388992,114.1528908,A,120,D,15,2
10086,10086A,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong East ,南昌東,南昌东,FUK WA STREET,福華街,福华街,FUK WA STREET 2,福華街 2,福华街 2,22.3386959,114.153001,A,120,D,15,2
10086,10086B,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong East ,南昌東,南昌东,FUK WA STREET,福華街,福华街,FUK WA STREET 2,福華街 2,福华街 2,22.3386628,114.1530411,A,120,D,15,2
10091,10091A,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong East ,南昌東,南昌东,FUK WA STREET,福華街,福华街,Fuk Wa Street 1,福華街 1,福华街 1,22.3392835,114.1522704,G,60,A,15,2
10092,10092A,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong East ,南昌東,南昌东,FUK WA STREET,福華街,福华街,Fuk Wa Street 1,福華街 1,福华街 1,22.3393947,114.1521295,G,60,A,15,2
10092,10092B,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong East ,南昌東,南昌东,FUK WA STREET,福華街,福华街,Fuk Wa Street 1,福華街 1,福华街 1,22.3393383,114.1522046,G,60,A,15,2
101,101A,Hong Kong,香港島,香港岛,Southern,南區,南区,Bays Areas,海灣,海湾,South Bay Road,南灣道,南湾道,South Bay Beach,南灣,南湾,22.22441326,114.1980085,A,120,D,15,2
101,101B,Hong Kong,香港島,香港岛,Southern,南區,南区,Bays Areas,海灣,海湾,South Bay Road,南灣道,南湾道,South Bay Beach,南灣,南湾,22.22440132,114.197987,A,120,D,15,2
10112,10112A,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Lai Chi Kok North,荔枝角北,荔枝角北,Camp Street,營盤街,营盘街,FUK WING STREET,福榮街,福荣街,22.3339504,114.1598379,A,120,D,15,2
10112,10112B,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Lai Chi Kok North,荔枝角北,荔枝角北,Camp Street,營盤街,营盘街,FUK WING STREET,福榮街,福荣街,22.3339167,114.1598064,A,120,D,15,2
10113,10113A,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong East ,南昌東,南昌东,FUK WA STREET,福華街,福华街,FUK WA STREET 2,福華街 2,福华街 2,22.3339482,114.1601404,A,120,D,15,2
10113,10113B,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong East ,南昌東,南昌东,FUK WA STREET,福華街,福华街,FUK WA STREET 2,福華街 2,福华街 2,22.3339239,114.1601712,A,120,D,15,2
10118,10118A,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong East ,南昌東,南昌东,FUK WA STREET,福華街,福华街,FUK WA STREET 2,福華街 2,福华街 2,22.3389414,114.152839,A,120,D,15,2
10118,10118B,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong East ,南昌東,南昌东,FUK WA STREET,福華街,福华街,FUK WA STREET 2,福華街 2,福华街 2,22.3389705,114.1528029,A,120,D,15,2
10119,10119A,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong East ,南昌東,南昌东,FUK WA STREET,福華街,福华街,FUK WA STREET 2,福華街 2,福华街 2,22.3390132,114.1527526,A,120,D,15,2
10119,10119B,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong East ,南昌東,南昌东,FUK WA STREET,福華街,福华街,FUK WA STREET 2,福華街 2,福华街 2,22.3390407,114.1527164,A,120,D,15,2
10120,10120A,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong East ,南昌東,南昌东,FUK WA STREET,福華街,福华街,Fuk Wa Street 2,福華街 2,福华街 2,22.3390805,114.1526685,A,120,D,15,2
10120,10120B,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong East ,南昌東,南昌东,FUK WA STREET,福華街,福华街,Fuk Wa Street 2,福華街 2,福华街 2,22.3391099,114.1526337,A,120,D,15,2
10121,10121A,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong East ,南昌東,南昌东,FUK WA STREET,福華街,福华街,FUK WA STREET 2,福華街 2,福华街 2,22.3391507,114.1525827,A,120,D,15,2
10121,10121B,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong East ,南昌東,南昌东,FUK WA STREET,福華街,福华街,FUK WA STREET 2,福華街 2,福华街 2,22.3391782,114.1525486,A,120,D,15,2
10122,10122A,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong East ,南昌東,南昌东,FUK WA STREET,福華街,福华街,Fuk Wa Street 2,福華街 2,福华街 2,22.3392164,114.1524992,A,120,D,15,2
10122,10122B,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong East ,南昌東,南昌东,FUK WA STREET,福華街,福华街,Fuk Wa Street 2,福華街 2,福华街 2,22.3392445,114.1524658,A,120,D,15,2
10124,10124A,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong East ,南昌東,南昌东,FUK WA STREET,福華街,福华街,Fuk Wa Street 2,福華街 2,福华街 2,22.3393503,114.1523305,A,120,D,15,2
10124,10124B,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong East ,南昌東,南昌东,FUK WA STREET,福華街,福华街,Fuk Wa Street 2,福華街 2,福华街 2,22.3393786,114.1522916,A,120,D,15,2
10125,10125A,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong East ,南昌東,南昌东,FUK WA STREET,福華街,福华街,Fuk Wa Street 2,福華街 2,福华街 2,22.3394159,114.1522438,A,120,D,15,2
10125,10125B,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Nam Cheong East ,南昌東,南昌东,FUK WA STREET,福華街,福华街,Fuk Wa Street 2,福華街 2,福华街 2,22.339443,114.1522077,A,120,D,15,2
10131,10131B,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Lai Chi Kok North,荔枝角北,荔枝角北,FUK WING STREET,福榮街,福荣街,FUK WING STREET 2,福榮街 2,福荣街 2,22.33171321,114.1631508,A,30,D,15,2
10132,10132A,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Lai Chi Kok North,荔枝角北,荔枝角北,FUK WING STREET,福榮街,福荣街,FUK WING STREET 2,福榮街 2,福荣街 2,22.33174952,114.1631051,A,30,D,15,2
10132,10132B,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Lai Chi Kok North,荔枝角北,荔枝角北,FUK WING STREET,福榮街,福荣街,FUK WING STREET 2,福榮街 2,福荣街 2,22.33177867,114.1630671,A,30,D,15,2
10133,10133A,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Lai Chi Kok North,荔枝角北,荔枝角北,FUK WING STREET,福榮街,福荣街,FUK WING STREET 2,福榮街 2,福荣街 2,22.33181642,114.1630183,A,30,D,15,2
10133,10133B,Kowloon,九龍,九龙,Sham Shui Po,深水埗,深水埗,Lai Chi Kok North,荔枝角北,荔枝角北,FUK WING STREET,福榮街,福荣街,FUK WING STREET 2,福榮街 2,福荣街 2,22.33184604,114.1629803,A,30,D,15,2
